,name,loc,flag,min,max,description,category,subcat,def,pft_mins,pft_maxs,notes
10,kc_nonmyc,P,KCN,90percent,900percent,Constant relating root C to non-mycorrhizal root active uptake cost.,bgc,fun,,,,
11,kn_nonmyc,P,KCN,90percent,900percent,Constant relating soil layer Nitrogen content to non-mycorrhizal root active uptake cost.,bgc,fun,,,,
12,akc_active,P,KCN,90percent,900percent,Constant relating root C to arbuscular mycorrhizal root active uptake cost.,bgc,fun,,,,
13,akn_active,P,KCN,90percent,900percent,Constant relating soil layer Nitrogen content to arbuscular mycorrhizal root active uptake cost.,bgc,fun,,,,
14,ekc_active,P,KCN,90percent,900percent,Constant relating root C to ectomycorrhizal root active uptake cost.,bgc,fun,,,,
15,ekn_active,P,KCN,90percent,900percent,Constant relating soil layer Nitrogen content to ectomycorrhizal root active uptake cost.,bgc,fun,,,,
16,leafcn,P,,30percent,30percent,Leaf C:N,bgc,allocation,"NET: 58
 NDT: 25.813112
 BET: 29.603315
 BDT: 23.452158
 BES: 36.416607
 BDS: 23.255814
 C3 Grass/C3 Crop: 28.026905
 C4 Grass: 35.360680
 C3 Irrig/Corn/Sugarcane: 25
 Other Crop: 20",,,
17,lmrha,S,,50percent,50percent,activation energy for lmr,stomatal,acclimation,46390,,,
18,vcmaxse_sf,S,ACCLIM_SF,20percent,20percent,Scale factor for vcmaxse equation,stomatal,acclimation,1,,,
19,jmaxse_sf,S,ACCLIM_SF,20percent,20percent,Scale factor for jmaxse equation,stomatal,acclimation,1,,,
20,tpuse_sf,S,ACCLIM_SF,20percent,20percent,Scale factor for tpuse equation,stomatal,acclimation,1,,,
