param_name,biome,forcing,criteria,variable,measure,x
default,Woodland/shrubland,CTL2010,QVEGE_mean_Woodland/shrubland,QVEGE,mean,2.690040003898612e-07
default,Woodland/shrubland,CTL2010,QVEGE_iav_Woodland/shrubland,QVEGE,iav,8.63214912892699e-09
default,Temperate grassland/desert,CTL2010,QVEGE_mean_Temperate grassland/desert,QVEGE,mean,2.124159842285332e-08
default,Temperate grassland/desert,CTL2010,QVEGE_iav_Temperate grassland/desert,QVEGE,iav,2.4687897739073085e-09
default,Boreal forest,CTL2010,QVEGE_mean_Boreal forest,QVEGE,mean,1.4485073023438201e-07
default,Boreal forest,CTL2010,QVEGE_iav_Boreal forest,QVEGE,iav,5.199797682764232e-09
default,Tundra,CTL2010,QVEGE_mean_Tundra,QVEGE,mean,4.5386925822503516e-08
default,Tundra,CTL2010,QVEGE_iav_Tundra,QVEGE,iav,2.4095990135705524e-09
default,Ice sheet,CTL2010,QSOIL_mean_Ice sheet,QSOIL,mean,-5.14568040095372e-09
default,Ice sheet,CTL2010,QSOIL_iav_Ice sheet,QSOIL,iav,3.317788809886384e-09
default,Tropical rain forest,CTL2010,QSOIL_mean_Tropical rain forest,QSOIL,mean,7.736315118100695e-08
default,Tropical rain forest,CTL2010,QSOIL_iav_Tropical rain forest,QSOIL,iav,1.8123466616833565e-09
default,Tropical seasonal forest/savanna,CTL2010,QSOIL_mean_Tropical seasonal forest/savanna,QSOIL,mean,1.3869849856367882e-06
default,Tropical seasonal forest/savanna,CTL2010,QSOIL_iav_Tropical seasonal forest/savanna,QSOIL,iav,4.014909741812752e-08
default,Subtropical desert,CTL2010,QSOIL_mean_Subtropical desert,QSOIL,mean,6.837557488151499e-07
default,Subtropical desert,CTL2010,QSOIL_iav_Subtropical desert,QSOIL,iav,4.564726330107111e-08
default,Temperate rain forest,CTL2010,QSOIL_mean_Temperate rain forest,QSOIL,mean,3.3784942450688903e-09
default,Temperate rain forest,CTL2010,QSOIL_iav_Temperate rain forest,QSOIL,iav,1.8542974628315067e-10
default,Temperate seasonal forest,CTL2010,QSOIL_mean_Temperate seasonal forest,QSOIL,mean,2.23147099672758e-07
default,Temperate seasonal forest,CTL2010,QSOIL_iav_Temperate seasonal forest,QSOIL,iav,5.654320110836158e-09
default,Woodland/shrubland,CTL2010,QSOIL_mean_Woodland/shrubland,QSOIL,mean,4.4028735783077767e-07
default,Woodland/shrubland,CTL2010,QSOIL_iav_Woodland/shrubland,QSOIL,iav,1.5427296598688785e-08
default,Temperate grassland/desert,CTL2010,QSOIL_mean_Temperate grassland/desert,QSOIL,mean,2.299662958126547e-07
default,Temperate grassland/desert,CTL2010,QSOIL_iav_Temperate grassland/desert,QSOIL,iav,6.8043941143240145e-09
default,Boreal forest,CTL2010,QSOIL_mean_Boreal forest,QSOIL,mean,2.0107304199564631e-07
default,Boreal forest,CTL2010,QSOIL_iav_Boreal forest,QSOIL,iav,6.931350290281991e-09
default,Tundra,CTL2010,QSOIL_mean_Tundra,QSOIL,mean,1.9960693104174216e-07
