param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
csol_sand,global,EFLX_LH_TOT_MEAN_global,169,EFLX_LH_TOT,mean,37.53243990339858,37.529155742069214,0.0032841613293683736
fm_root,global,EFLX_LH_TOT_MEAN_global,170,EFLX_LH_TOT,mean,37.529384198018754,37.52628466960489,0.003099528413862629
drift_gs,global,EFLX_LH_TOT_MEAN_global,171,EFLX_LH_TOT,mean,37.526252991900115,37.52920302435714,0.002950032457022189
max_altdepth_cryoturbation,global,EFLX_LH_TOT_MEAN_global,172,EFLX_LH_TOT,mean,37.5306095187231,37.52797675641319,0.0026327623099078323
ssi,global,EFLX_LH_TOT_MEAN_global,173,EFLX_LH_TOT,mean,37.53111788347339,37.52857004351394,0.002547839959454734
cropfire_a1,global,EFLX_LH_TOT_MEAN_global,174,EFLX_LH_TOT,mean,37.530999782916425,37.52850438931247,0.002495393603958007
tkd_clay,global,EFLX_LH_TOT_MEAN_global,175,EFLX_LH_TOT,mean,37.53123469383742,37.53360892953648,0.002374235699058147
rho_max,global,EFLX_LH_TOT_MEAN_global,176,EFLX_LH_TOT,mean,37.53299453298926,37.530710012880704,0.0022845201085530675
csol_clay,global,EFLX_LH_TOT_MEAN_global,177,EFLX_LH_TOT,mean,37.53260537308362,37.530439081619384,0.0021662914642348596
cc_lstem,global,EFLX_LH_TOT_MEAN_global,178,EFLX_LH_TOT,mean,37.52931354141611,37.53142795625853,0.0021144148424241394
pd,global,EFLX_LH_TOT_MEAN_global,179,EFLX_LH_TOT,mean,37.52987140308971,37.53174666027834,0.0018752571886295755
ceta,global,EFLX_LH_TOT_MEAN_global,180,EFLX_LH_TOT,mean,37.52979958515722,37.5313520294204,0.0015524442631758006
rf_s3s1_bgc,global,EFLX_LH_TOT_MEAN_global,181,EFLX_LH_TOT,mean,37.530260736853855,37.531430289120166,0.0011695522663117686
occur_hi_gdp_tree,global,EFLX_LH_TOT_MEAN_global,182,EFLX_LH_TOT,mean,37.529476517459614,37.52860660515167,0.0008699123079409787
Q10,global,EFLX_LH_TOT_MEAN_global,183,EFLX_LH_TOT,mean,37.529325258290015,37.5298675765739,0.000542318283883958
csol_om,global,EFLX_LH_TOT_MEAN_global,184,EFLX_LH_TOT,mean,37.52972422551005,37.52920725036243,0.0005169751476188367
CWD,global,EFLX_LH_TOT_MEAN_global,185,EFLX_LH_TOT,mean,37.52946244365974,37.529046277034944,0.00041616662479526667
fm_lstem,global,EFLX_LH_TOT_MEAN_global,186,EFLX_LH_TOT,mean,37.52840651263197,37.528687013989504,0.00028050135753687755
luna_theta_cj,global,EFLX_LH_TOT_MEAN_global,187,EFLX_LH_TOT,mean,37.52847235580184,37.52824825240836,0.00022410339347800345
fm_lroot,global,EFLX_LH_TOT_MEAN_global,188,EFLX_LH_TOT,mean,37.5285525078557,37.52867558452055,0.00012307666484900892
non_boreal_peatfire_c,global,EFLX_LH_TOT_MEAN_global,189,EFLX_LH_TOT,mean,37.52912942828632,37.52906596367419,6.346461212558552e-05
